Start date*,Start time,Meet up,End date,End time,Match type*,Home team*,Away team*,Description,Place
12/08/2023,15:00,13:00,,,Home match,Maroons,Harrogate Pythons,Friendly,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
17/08/2023,15:00,13:00,,,Home match,Maroons,Fire Service,Friendly,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
24/08/2023,15:00,13:00,,,Away match,Heath,Maroons,Friendly,"The Clubhouse, North Dean, Stainland Rd, Greetland, Halifax, HX4 8LS"
02/09/2023,15:00,13:00,,,Home match,Maroons,Old Crossleyans,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
02/09/2023,15:00,13:00,,,Away match,Pontefract,Cavaliers,Yorkshire Merit League Championship,"Moor Lane, Carleton, Pontefract, West Yorkshire, WF8 3RX"
09/09/2023,15:00,13:00,,,Away match,Goole,Maroons,Regional 2 North East,"Westfield Banks, Westfield Lane, Goole, East Yorkshire"
09/09/2023,15:00,13:00,,,Home match,Cavaliers,Doncaster Phoenix,Yorkshire Merit League Championship,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
16/09/2023,15:00,13:00,,,Home match,Maroons,Rochdale,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
16/09/2023,15:00,13:00,,,Away match,Moortown,Cavaliers,Yorkshire Merit League Championship,"Moss Valley, Leeds, LS17 7NT"
23/09/2023,15:00,13:00,,,Away match,Scarborough,Maroons,Regional 2 North East,"Silver Royd, 569 Scalby Rd, Scalby, Scarborough, YO13 0NL"
30/09/2023,15:00,13:00,,,Home match,Maroons,Selby,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
30/09/2023,15:00,13:00,,,Away match,Selby,Cavaliers,Yorkshire Merit League Championship,"Sandhill Lane, Selby, North Yorkshire, YO8 4JP"
07/10/2023,15:00,13:00,,,Home match,Maroons,Yorkshire Cup Reserve Date,Yorkshire Cup,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
07/10/2023,15:00,13:00,,,Home match,Cavaliers,Sheffield Engineers,Yorkshire Merit League Championship,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
14/10/2023,15:00,13:00,,,Away match,Glossop,Maroons,Regional 2 North East,"Glossop RUFC, Hargate Hill Lane, Charlesworth, Glossop, Derbyshire, SK13 5HG"
21/10/2023,15:00,13:00,,,Home match,Maroons,Bridlington,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
21/10/2023,15:00,13:00,,,Away match,Keighley,Cavaliers,Yorkshire Merit League Championship,"Skipton Road, Utley, Keighley, West Yorkshire, BD20 6DT"
28/10/2023,15:00,13:00,,,Home match,Maroons,League Reserve Date,Friendly,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
28/10/2023,15:00,13:00,,,Home match,Cavaliers,Wetherby,Yorkshire Merit League Championship,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
04/11/2023,14:15,12:15,,,Away match,Dronfield,Maroons,Regional 2 North East,"Gosforth Fields, Bubnell Rd, Dronfield Woodhouse, Dronfield, S18 8QY"
11/11/2023,14:15,12:15,,,Home match,Maroons,Malton & Norton,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
11/11/2023,14:15,12:15,,,Away match,Huddersfield,Cavaliers,Yorkshire Merit League Championship,"Lockwood Park, Brewery Drive, Huddersfield, HD4 6EN"
18/11/2023,14:15,12:15,,,Away match,Moortown,Maroons,Regional 2 North East,"Moss Valley, Leeds, LS17 7NT"
18/11/2023,14:15,12:15,,,Home match,Cavaliers,Moortown,Yorkshire Merit League Championship,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
25/11/2023,14:15,12:15,,,Home match,Maroons,Yorkshire Cup Reserve Date,Yorkshire Cup,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
25/11/2023,14:15,12:15,,,Home match,Cavaliers,Cleckheaton,Yorkshire Merit League Championship,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
02/12/2023,14:15,12:15,,,Home match,Maroons,Old Brodleians,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
02/12/2023,14:15,12:15,,,Away match,Old Brodleians,Cavaliers,Yorkshire Merit League Championship,"Woodhead, Hipperholme, Halifax, West Yorkshire, HX3 8JU"
09/12/2023,14:15,12:15,,,Home match,Maroons,Goole,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
16/12/2023,14:15,12:15,,,Away match,Rochdale,Maroons,Regional 2 North East,"Rochdale RUFC Clubhouse, Moorgate Avenue, off Bury Road, Rochdale, Lancashire, OL11 5LU"
06/01/2024,14:15,12:15,,,Home match,Maroons,Scarborough,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
06/01/2024,14:15,12:15,,,Away match,Doncaster Phoenix,Cavaliers,Yorkshire Merit League Championship,"Doncaster Rugby Club, Castle Park, Doncaster, South Yorkshire, DN2 5QB"
13/01/2024,14:15,12:15,,,Away match,Selby,Maroons,Regional 2 North East,"Sandhill Lane, Selby, North Yorkshire, YO8 4JP"
13/01/2024,14:15,12:15,,,Home match,Cavaliers,Selby,Yorkshire Merit League Championship,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
20/01/2024,14:15,12:15,,,Home match,Maroons,League Reserve Date,Friendly,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
20/01/2024,14:15,12:15,,,Home match,Cavaliers,Pontefract,Yorkshire Merit League Championship,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
27/01/2024,14:15,12:15,,,Home match,Maroons,Glossop,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
03/02/2024,14:15,12:15,,,Away match,Bridlington,Maroons,Regional 2 North East,"Dukes Park Queensgate, Bridlington, YO16 7LN"
03/02/2024,14:15,12:15,,,Home match,Cavaliers,Keighley,Yorkshire Merit League Championship,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
10/02/2024,14:15,12:15,,,Home match,Maroons,League Reserve Date,Friendly,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
10/02/2024,14:15,12:15,,,Away match,Wetherby,Cavaliers,Yorkshire Merit League Championship,"Wetherby RUFC, Grange Park, Wetherby, West Yorkshire, LS22 5NB"
17/02/2024,14:15,12:15,,,Home match,Maroons,Dronfield,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
24/02/2024,14:15,12:15,,,Home match,Maroons,League Reserve Date,Friendly,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
02/03/2024,15:00,13:00,,,Away match,Malton & Norton,Maroons,Regional 2 North East,"The Gannock, Old Malton Road, Malton, United Kingdom, North Yorkshire, YO17 7EY"
02/03/2024,15:00,13:00,,,Home match,Cavaliers,Huddersfield,Yorkshire Merit League Championship,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
09/03/2024,15:00,13:00,,,Home match,Maroons,League Reserve Date,Friendly,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
09/03/2024,15:00,13:00,,,Away match,Cleckheaton,Cavaliers,Yorkshire Merit League Championship,"The Pavilion, Moorend, Cleckheaton, West Yorkshire, BD19 3UD"
16/03/2024,15:00,13:00,,,Home match,Maroons,Moortown,Regional 2 North East,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
23/03/2024,15:00,13:00,,,Away match,Old Brodleians,Maroons,Regional 2 North East,"Woodhead, Hipperholme, Halifax, West Yorkshire, HX3 8JU"
23/03/2024,15:00,13:00,,,Home match,Cavaliers,Old Brodleians,Yorkshire Merit League Championship,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
30/03/2024,15:00,13:00,,,Home match,Maroons,League Reserve Date,Friendly,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
06/04/2024,15:00,13:00,,,Away match,Old Crossleyans,Maroons,Regional 2 North East,"Standeven House, Broomfield Avenue, Halifax, West Yorkshire, HX3 0JE"
13/04/2024,15:00,13:00,,,Home match,Maroons,National Cup Reserve Date,Papa John's National Cup,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
20/04/2024,15:00,13:00,,,Home match,Maroons,National Cup Reserve Date,Papa John's National Cup,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
27/04/2024,15:00,13:00,,,Home match,Maroons,National Cup Reserve Date,Papa John's National Cup,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
04/05/2024,15:00,13:00,,,Home match,Maroons,National Cup Reserve Date,Papa John's National Cup,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"
11/05/2024,15:00,13:00,,,Home match,Maroons,National Cup Reserve Date,Papa John's National Cup,"Morley Rugby Football Club, Scatcherd Lane, Morley, Leeds, LS27 0JJ"